name,site,company,salary,eduBackground,techRequire
Java,北京·朝阳区·国贸,inDeco,25-30K·14薪,"5-10年
本科",多线程微服务架构搜索引擎技术消息队列分布式技术
Java,北京·朝阳区·望京,天成金汇,15-25K,"3-5年
本科",Java分布式技术MVC开发多线程微服务架构
Java,北京·海淀区·牡丹园,比弗斯科技,8-12K,"1-3年
本科",JavaJavascript后端开发
Java,北京·朝阳区·东坝,新德汇,11-18K,"3-5年
本科",SpringBootSpringCloudElasticses
Java,北京·海淀区·西北旺,微博,20-40K·14薪,"5-10年
本科",Java微服务架构SpringSpringBootSpringCloud
Java,北京·大兴区·亦庄,京东集团,30-50K·16薪,"3-5年
本科",Java开发经验Java中大型项目架构设计经验MyBatis
Java,北京·朝阳区·燕莎,瑞友科技,15-20K,"3-5年
本科",SQL微服务架构MVC开发SpringNoSQLMongoDB
Java,北京·朝阳区·安贞,快看漫画,25-50K·16薪,"5-10年
本科",多线程分布式技术微服务架构SpringDubboMySQL
Java,北京,露天,5-10K,"在校/应届
本科",JavaJavascriptSpring
Java,北京·朝阳区·善各庄,尔湾科技,20-30K·14薪,"5-10年
本科",音视频编解码Rtmp协议CDN直播微服务架构后端开发
Java,北京·朝阳区·三元桥,河狸家,15-30K,"经验不限
本科",SpringDubboSpringBoot分布式技术消息队列
Java,北京·丰台区·科技园区,华建精诚,15-18K,"3-5年
本科",SpringBootDubboRedisMySQL后端开发Linux
Java,北京·东城区·北京站,美菜,20-35K,"1-3年
本科",Java分布式技术消息队列SpringDubboSpringMVC
Java,北京·石景山区·金顶街,中瑞数通,18-28K,"3-5年
大专",JavaSpringRedisJava开发经验分布式系统开发经验
Java,北京·海淀区·五道口,盈金石科技,10-11K·13薪,"1-3年
大专",架构师MVC开发JQuerySpringDubboLinux
Java,北京·海淀区·清河,北京昂林科技,15-25K·13薪,"3-5年
大专",Java分布式技术多线程微服务架构网络编程
java,北京·顺义区·光明,锐聘,10-15K,"3-5年
本科",Java
Java,北京·西城区·金融街,申万宏源证券,15-30K,"3-5年
硕士",微服务架构SpringBootOracle后端开发
Java,北京·朝阳区·和平街,东道设计,8-12K,"3-5年
大专",Web端Java微服务架构服务器配置负载均衡技术
Java,北京·朝阳区·亚运村,方胜有成,15-25K,"5-10年
本科",JavaJavaScriptHTMLMySQLSQL
Java,北京,航天信息,13-16K,"1-3年
本科",软件工程师Web端JavaScriptJavaSQL多线程
